sample,difference,plank_mean,plank_median,plank_count,agg_mean,agg_median,agg_count
agg_repA,1922.2058891060478,6429.1302149178255,5269.0,791,4506.924325811778,3987.0,10902
agg_repA,-448.11704489400836,6529.06242502759,5028.0,20841,6977.179469921598,5824.0,54973
agg_repA,2974.7662683629715,8236.629682997118,6335.5,694,5261.8634146341465,4230.5,5330
agg_repA,1552.5897084401586,6299.575364667747,5180.0,617,4746.985656227588,4057.0,4183
agg_repA,2278.56184864616,7015.675213675214,5556.5,468,4737.113365029054,4054.0,18930
agg_repA,1296.3347475801384,6710.340715502555,5439.0,587,5414.005967922417,4629.0,21448
agg_repA,2216.6256436626645,7483.335913312693,5688.5,646,5266.710269650029,4169.0,1743
agg_repA,2310.091722728561,7446.136612021858,5780.0,549,5136.044889293297,4150.0,3297
agg_repA,1565.9207415236096,7073.603773584906,5170.0,583,5507.683032061296,4403.0,13443
agg_repA,2019.9627347492078,7285.447319778188,5462.0,541,5265.48458502898,4245.0,16218
agg_repB,1804.4662760994788,6771.55737704918,5107.0,610,4967.091100949701,4176.0,2843
agg_repB,1806.5019004673131,7385.192862566439,5220.0,1317,5578.6909620991255,4467.0,3773
agg_repB,1178.6638129755302,6890.39811824182,4971.0,7121,5711.73430526629,4613.0,3361
agg_repB,1467.4151721166618,7025.912663755458,4743.0,229,5558.497491638796,4391.5,1196
agg_repB,2151.108311307141,7203.169509223808,5640.0,2873,5052.061197916667,4185.5,2304
agg_repB,1715.7121742453046,7261.4225526641885,5411.5,1614,5545.710378418884,4548.0,2669
agg_repB,1359.4180065024902,7103.641273247496,5302.5,2796,5744.223266745006,4613.0,1702
agg_repB,741.1028583777215,6132.935344827586,4530.0,464,5391.8324864498645,4376.0,5904
agg_repB,854.5976011140383,6286.362397820163,4632.0,367,5431.764796706125,4373.0,1943
agg_repB,2091.780860534125,7741.55,5692.5,160,5649.769139465875,4422.0,1685
agg_repC,1018.5328744585631,6537.6687535572,5067.5,3514,5519.135879098637,4612.0,7411
agg_repC,222.77462879633003,5944.761179970253,4807.5,20170,5721.986551173923,4741.0,4387
agg_repC,2111.946179011771,7355.562745098039,5296.0,510,5243.616566086268,4477.0,40432
agg_repC,931.2080705457129,6568.7826771653545,4998.0,635,5637.574606619642,4632.0,1843
agg_repC,1083.7817339637104,7183.260714285714,5400.5,840,6099.478980322004,4986.5,2236
agg_repC,3.978158737276317,5380.293052354297,4355.0,3037,5376.314893617021,4260.0,235
agg_repC,2110.583813415222,7418.7692307692305,5755.5,884,5308.185417354009,4413.0,3031
agg_repC,1176.9418850483562,7033.262076624098,5202.0,1801,5856.320191575742,4983.0,31528
agg_repC,982.9425328131965,7425.990214067278,5889.0,1635,6443.047681254082,5427.0,21434
agg_repC,-580.4195763215175,7106.566492829204,5367.0,1534,7686.986069150722,6429.5,5958
